algorithm;size;case;avg_time_ms;min_time_ms;max_time_ms
mergeSort;10000;random;0,864050;0,810900;1,391600
quickSort;10000;random;0,512197;0,452800;4,111800
introSort;10000;random;0,458975;0,447200;0,481300
mergeSort;10000;sorted_25;0,729293;0,708900;0,922800
quickSort;10000;sorted_25;0,453804;0,432300;0,478400
introSort;10000;sorted_25;0,451265;0,428300;0,503600
mergeSort;10000;sorted_50;0,616246;0,604200;0,719800
quickSort;10000;sorted_50;0,437319;0,382500;0,588800
introSort;10000;sorted_50;0,479629;0,400700;0,639700
mergeSort;10000;sorted_75;0,499665;0,485300;0,620600
quickSort;10000;sorted_75;0,342972;0,322600;0,457600
introSort;10000;sorted_75;0,342301;0,315300;0,456700
mergeSort;10000;sorted_95;0,403105;0,391800;0,531800
quickSort;10000;sorted_95;0,195343;0,174300;0,270300
introSort;10000;sorted_95;0,199164;0,175400;0,307000
mergeSort;10000;sorted_99;0,381348;0,375900;0,438900
quickSort;10000;sorted_99;0,157721;0,130100;0,249400
introSort;10000;sorted_99;0,143698;0,123500;0,254400
mergeSort;10000;sorted_99.7;0,406722;0,377700;0,547000
quickSort;10000;sorted_99.7;0,141188;0,119500;0,208800
introSort;10000;sorted_99.7;0,137888;0,120800;0,237300
mergeSort;10000;reverse;0,382407;0,375100;0,482700
quickSort;10000;reverse;0,051064;0,048800;0,144600
introSort;10000;reverse;0,048596;0,046000;0,147900
mergeSort;50000;random;4,612096;4,443900;6,744800
quickSort;50000;random;2,666590;2,593900;2,855500
introSort;50000;random;2,626393;2,554700;2,777500
mergeSort;50000;sorted_25;4,008501;3,891600;6,522500
quickSort;50000;sorted_25;2,579342;2,470100;2,822300
introSort;50000;sorted_25;2,587905;2,469700;2,952500
mergeSort;50000;sorted_50;3,326318;3,274000;3,646800
quickSort;50000;sorted_50;2,601796;2,289300;4,123100
introSort;50000;sorted_50;2,645965;2,251000;3,635300
mergeSort;50000;sorted_75;2,625386;2,584100;2,836600
quickSort;50000;sorted_75;1,898085;1,827100;2,054100
introSort;50000;sorted_75;1,874941;1,789000;2,134800
mergeSort;50000;sorted_95;2,090333;2,046500;2,499600
quickSort;50000;sorted_95;1,131623;1,049500;2,006800
introSort;50000;sorted_95;1,114879;1,056500;1,293900
mergeSort;50000;sorted_99;1,998338;1,949200;2,234300
quickSort;50000;sorted_99;0,691782;0,646100;0,850600
introSort;50000;sorted_99;0,682722;0,644600;0,786900
mergeSort;50000;sorted_99.7;1,968459;1,930300;2,126900
quickSort;50000;sorted_99.7;0,631495;0,603200;0,683200
introSort;50000;sorted_99.7;0,614592;0,583600;0,660000
mergeSort;50000;reverse;2,005682;1,964100;2,185500
quickSort;50000;reverse;0,311356;0,282800;0,569700
introSort;50000;reverse;0,279067;0,269000;0,297100
mergeSort;100000;random;9,390873;9,193500;10,847100
quickSort;100000;random;5,607794;5,463600;6,204900
introSort;100000;random;5,512984;5,335300;5,876500
mergeSort;100000;sorted_25;8,169599;8,050100;8,716600
quickSort;100000;sorted_25;5,454219;5,276600;5,984000
introSort;100000;sorted_25;5,365675;5,168500;5,796600
mergeSort;100000;sorted_50;6,825531;6,705700;7,531500
quickSort;100000;sorted_50;5,487443;4,752300;8,612900
introSort;100000;sorted_50;5,579070;4,804500;7,295400
mergeSort;100000;sorted_75;5,350398;5,225100;6,720500
quickSort;100000;sorted_75;3,893480;3,799300;4,365900
introSort;100000;sorted_75;3,850122;3,762400;4,136000
mergeSort;100000;sorted_95;4,165619;4,086100;4,618400
quickSort;100000;sorted_95;2,280838;2,220000;2,519000
introSort;100000;sorted_95;2,329401;2,250000;2,525900
mergeSort;100000;sorted_99;3,959117;3,890500;4,314500
quickSort;100000;sorted_99;1,402734;1,358400;1,523800
introSort;100000;sorted_99;1,409629;1,366000;1,633000
mergeSort;100000;sorted_99.7;3,986177;3,855900;7,377900
quickSort;100000;sorted_99.7;1,239076;1,200600;1,443500
introSort;100000;sorted_99.7;1,220883;1,177400;1,750100
mergeSort;100000;reverse;4,085649;3,946200;6,379700
quickSort;100000;reverse;0,656460;0,620400;0,776900
introSort;100000;reverse;0,630344;0,597000;0,783800
mergeSort;500000;random;51,075948;50,485200;53,802600
quickSort;500000;random;31,311576;30,652400;37,655200
introSort;500000;random;31,014813;30,208100;33,394900
mergeSort;500000;sorted_25;44,542732;43,660900;55,165000
quickSort;500000;sorted_25;30,199140;29,214300;32,189300
introSort;500000;sorted_25;29,624814;28,626000;31,523500
mergeSort;500000;sorted_50;36,845538;36,156300;46,831100
quickSort;500000;sorted_50;35,581163;26,806400;90,066500
introSort;500000;sorted_50;31,717054;26,511800;43,374300
mergeSort;500000;sorted_75;28,509324;27,943700;31,858600
quickSort;500000;sorted_75;21,541590;21,188100;23,017700
introSort;500000;sorted_75;21,247675;20,925300;22,213600
mergeSort;500000;sorted_95;21,976146;21,577400;25,140200
quickSort;500000;sorted_95;13,045809;12,654900;19,598600
introSort;500000;sorted_95;13,356995;13,003500;14,419400
mergeSort;500000;sorted_99;20,867078;20,505300;23,908600
quickSort;500000;sorted_99;8,814652;8,616400;9,799600
introSort;500000;sorted_99;9,087833;8,829300;10,364600
mergeSort;500000;sorted_99.7;20,787558;20,318500;22,971000
quickSort;500000;sorted_99.7;7,193558;7,064200;7,990900
introSort;500000;sorted_99.7;7,125063;6,998100;7,962900
mergeSort;500000;reverse;21,882048;21,472300;23,715800
quickSort;500000;reverse;4,308122;4,185900;5,044600
introSort;500000;reverse;4,153865;4,092600;4,913600
mergeSort;1000000;random;107,390431;106,169100;114,869400
quickSort;1000000;random;64,896031;63,472800;67,800900
introSort;1000000;random;63,786766;62,598300;67,594200
mergeSort;1000000;sorted_25;93,046974;91,909500;109,069600
quickSort;1000000;sorted_25;62,299904;60,638700;69,212700
introSort;1000000;sorted_25;61,260010;59,349000;64,250300
mergeSort;1000000;sorted_50;77,126117;76,165100;86,393600
quickSort;1000000;sorted_50;79,925037;55,263400;203,843900
introSort;1000000;sorted_50;64,867391;53,510000;89,789400
mergeSort;1000000;sorted_75;59,911704;58,908600;63,675800
quickSort;1000000;sorted_75;44,657571;43,700100;48,290700
introSort;1000000;sorted_75;43,958112;43,266100;47,065300
mergeSort;1000000;sorted_95;46,477362;45,243400;50,701200
quickSort;1000000;sorted_95;26,757122;26,441800;28,389500
introSort;1000000;sorted_95;27,745007;27,055400;31,835800
mergeSort;1000000;sorted_99;43,558036;42,909100;45,974700
quickSort;1000000;sorted_99;19,321798;19,071000;19,863600
introSort;1000000;sorted_99;19,952187;19,591200;20,539400
mergeSort;1000000;sorted_99.7;43,465528;42,816600;46,149200
quickSort;1000000;sorted_99.7;16,260920;15,993200;17,971400
introSort;1000000;sorted_99.7;16,216717;16,033300;17,180800
mergeSort;1000000;reverse;47,762890;46,914500;50,711400
quickSort;1000000;reverse;10,426140;10,134800;11,490500
introSort;1000000;reverse;10,109447;9,893800;11,171500
