algorithm;size;case;avg_time_ms;min_time_ms;max_time_ms;;;;;;
mergeSort;10000;random;2,743146;2,6822;3,1511;;;;;;
quickSort;10000;random;1,107926;1,0858;1,2487;;;;;;
introSort;10000;random;1,121591;1,1013;1,2085;;;size;1000000;;
mergeSort;10000;sorted_25;2,537161;2,501;3,2691;;;;;;
quickSort;10000;sorted_25;1,081507;1,0509;1,1284;;;Suma z avg_time_ms;Etykiety kolumn;;
introSort;10000;sorted_25;1,093917;1,0698;1,1831;;;Etykiety wierszy;introSort;mergeSort;quickSort
mergeSort;10000;sorted_50;2,314295;2,2996;2,4088;;;random;157,20;357,31;156,29
quickSort;10000;sorted_50;1,372154;1,0243;4,1363;;;sorted_25;152,84;330,53;152,20
introSort;10000;sorted_50;1,643533;1,0379;3,953;;;sorted_50;257,58;302,97;391,99
mergeSort;10000;sorted_75;2,088897;2,0799;2,1359;;;sorted_75;120,28;268,79;119,61
quickSort;10000;sorted_75;0,849142;0,8338;0,8806;;;sorted_95;101,60;244,02;92,70
introSort;10000;sorted_75;0,860524;0,8464;0,9171;;;sorted_99;78,99;239,61;74,86
mergeSort;10000;sorted_95;1,917661;1,9033;2,0241;;;sorted_99.7;67,58;238,89;66,02
quickSort;10000;sorted_95;0,611225;0,5968;0,6341;;;reverse;45,50;241,10;45,21
introSort;10000;sorted_95;0,631997;0,61;0,7028;;;;;;
mergeSort;10000;sorted_99;1,886628;1,8738;1,9297;;;;;;
quickSort;10000;sorted_99;0,495135;0,4843;0,5135;;;;;;
introSort;10000;sorted_99;0,503983;0,4875;0,5356;;;;;;
mergeSort;10000;sorted_99.7;1,879963;1,8684;1,9146;;;case;(Wszystko);;
quickSort;10000;sorted_99.7;0,460076;0,4391;0,4959;;;;;;
introSort;10000;sorted_99.7;0,467934;0,4375;0,5961;;;Suma z avg_time_ms;Etykiety kolumn;;
mergeSort;10000;reverse;1,826405;1,8062;2,0335;;;Etykiety wierszy;introSort;mergeSort;quickSort
quickSort;10000;reverse;0,282981;0,2806;0,3591;;;10000;6,61;17,19;6,26
introSort;10000;reverse;0,288171;0,2858;0,2975;;;50000;37,72;95,49;37,09
mergeSort;50000;random;15,061317;14,9618;15,598;;;100000;80,11;198,37;78,62
quickSort;50000;random;6,362856;6,2308;6,8411;;;500000;460,75;1071,60;472,59
introSort;50000;random;6,413398;6,3046;6,7349;;;1000000;981,57;2223,22;1098,89
mergeSort;50000;sorted_25;14,040322;13,9858;14,4339;;;;;;
quickSort;50000;sorted_25;6,207821;6,0836;6,5626;;;;;;
introSort;50000;sorted_25;6,256887;6,1041;6,5421;;;;;;
mergeSort;50000;sorted_50;12,956676;12,8644;13,2207;;;;;;
quickSort;50000;sorted_50;9,203647;5,7938;32,4424;;;;;;
introSort;50000;sorted_50;9,267902;5,8664;17,6141;;;;;;
mergeSort;50000;sorted_75;11,636346;11,5204;12,4717;;;;;;
quickSort;50000;sorted_75;4,845436;4,7829;5,0293;;;;;;
introSort;50000;sorted_75;4,915938;4,8097;6,275;;;;;;
mergeSort;50000;sorted_95;10,644923;10,5833;10,7476;;;;;;
quickSort;50000;sorted_95;3,57851;3,5253;3,6458;;;;;;
introSort;50000;sorted_95;3,799907;3,6649;4,7069;;;;;;
mergeSort;50000;sorted_99;10,478515;10,4;10,7937;;;;;;
quickSort;50000;sorted_99;2,721919;2,6888;2,7772;;;;;;
introSort;50000;sorted_99;2,817434;2,7451;2,9837;;;;;;
mergeSort;50000;sorted_99.7;10,468828;10,3661;11,4117;;;;;;
quickSort;50000;sorted_99.7;2,528936;2,4885;2,625;;;;;;
introSort;50000;sorted_99.7;2,572219;2,5196;2,6636;;;;;;
mergeSort;50000;reverse;10,205556;10,0335;10,6538;;;;;;
quickSort;50000;reverse;1,643368;1,6356;1,7928;;;;;;
introSort;50000;reverse;1,6724;1,6638;1,7244;;;;;;
mergeSort;100000;random;31,415336;31,2633;31,8428;;;;;;
quickSort;100000;random;13,434253;13,2232;13,9534;;;;;;
introSort;100000;random;13,558372;13,3767;13,8981;;;;;;
mergeSort;100000;sorted_25;29,31024;29,1443;30,0791;;;;;;
quickSort;100000;sorted_25;13,069215;12,8404;13,5785;;;;;;
introSort;100000;sorted_25;13,152435;12,8516;13,4337;;;;;;
mergeSort;100000;sorted_50;26,823303;26,6805;27,2947;;;;;;
quickSort;100000;sorted_50;19,722338;12,2143;69,3126;;;;;;
introSort;100000;sorted_50;20,019272;12,3549;35,7252;;;;;;
mergeSort;100000;sorted_75;24,165947;23,9772;24,5984;;;;;;
quickSort;100000;sorted_75;10,225561;10,1096;10,4356;;;;;;
introSort;100000;sorted_75;10,31602;10,1968;10,5789;;;;;;
mergeSort;100000;sorted_95;22,093301;21,9511;22,8886;;;;;;
quickSort;100000;sorted_95;7,659764;7,5462;7,7738;;;;;;
introSort;100000;sorted_95;8,180414;7,8516;8,4802;;;;;;
mergeSort;100000;sorted_99;21,739268;21,6464;22,5511;;;;;;
quickSort;100000;sorted_99;5,781206;5,7026;6,5299;;;;;;
introSort;100000;sorted_99;6,000926;5,8695;6,12;;;;;;
mergeSort;100000;sorted_99.7;21,66441;21,5881;21,8123;;;;;;
quickSort;100000;sorted_99.7;5,254585;5,2174;5,2994;;;;;;
introSort;100000;sorted_99.7;5,355958;5,3202;5,4239;;;;;;
mergeSort;100000;reverse;21,153425;20,9069;21,5371;;;;;;
quickSort;100000;reverse;3,46931;3,46;3,5052;;;;;;
introSort;100000;reverse;3,522283;3,5131;3,5545;;;;;;
mergeSort;500000;random;171,815415;170,7671;173,7895;;;;;;
quickSort;500000;random;74,945862;74,1762;76,5275;;;;;;
introSort;500000;random;75,470964;74,6051;76,407;;;;;;
mergeSort;500000;sorted_25;159,365694;158,2823;160,7719;;;;;;
quickSort;500000;sorted_25;73,060114;71,8872;75,3873;;;;;;
introSort;500000;sorted_25;73,448469;72,1717;75,0358;;;;;;
mergeSort;500000;sorted_50;145,238115;144,3665;146,2577;;;;;;
quickSort;500000;sorted_50;137,874585;67,4252;502,8491;;;;;;
introSort;500000;sorted_50;117,355393;68,2933;204,6925;;;;;;
mergeSort;500000;sorted_75;129,902421;129,1246;131,0154;;;;;;
quickSort;500000;sorted_75;57,421643;56,6757;58,6255;;;;;;
introSort;500000;sorted_75;57,845985;57,2693;59,0306;;;;;;
mergeSort;500000;sorted_95;118,221596;117,5634;119,6937;;;;;;
quickSort;500000;sorted_95;44,065855;43,7629;44,4689;;;;;;
introSort;500000;sorted_95;48,323168;46,6763;50,1046;;;;;;
mergeSort;500000;sorted_99;116,05191;115,2729;117,3933;;;;;;
quickSort;500000;sorted_99;34,563011;34,3082;35,2158;;;;;;
introSort;500000;sorted_99;36,540671;35,7229;37,5326;;;;;;
mergeSort;500000;sorted_99.7;115,616401;114,907;116,7242;;;;;;
quickSort;500000;sorted_99.7;30,376996;30,175;31,188;;;;;;
introSort;500000;sorted_99.7;31,250846;30,8675;40,7735;;;;;;
mergeSort;500000;reverse;115,384224;114,5149;117,6296;;;;;;
quickSort;500000;reverse;20,279097;20,1922;20,4097;;;;;;
introSort;500000;reverse;20,519236;20,4148;21,3657;;;;;;
mergeSort;1000000;random;357,312117;355,577;359,2553;;;;;;
quickSort;1000000;random;156,293846;154,1996;159,3783;;;;;;
introSort;1000000;random;157,197405;155,6527;160,0744;;;;;;
mergeSort;1000000;sorted_25;330,528411;328,6624;334,1814;;;;;;
quickSort;1000000;sorted_25;152,200022;149,6146;155,0801;;;;;;
introSort;1000000;sorted_25;152,836197;150,2347;155,4052;;;;;;
mergeSort;1000000;sorted_50;302,968913;299,1821;371,1616;;;;;;
quickSort;1000000;sorted_50;391,988902;141,8996;2002,6249;;;;;;
introSort;1000000;sorted_50;257,58111;143,0492;435,4386;;;;;;
mergeSort;1000000;sorted_75;268,791261;267,1636;270,2355;;;;;;
quickSort;1000000;sorted_75;119,606236;117,8324;121,4177;;;;;;
introSort;1000000;sorted_75;120,284971;118,8452;122,611;;;;;;
mergeSort;1000000;sorted_95;244,019981;242,4158;246,0238;;;;;;
quickSort;1000000;sorted_95;92,699774;91,9789;93,7648;;;;;;
introSort;1000000;sorted_95;101,598691;98,2186;105,363;;;;;;
mergeSort;1000000;sorted_99;239,613507;238,2943;241,4962;;;;;;
quickSort;1000000;sorted_99;74,862324;74,3809;75,7767;;;;;;
introSort;1000000;sorted_99;78,990719;77,7962;80,8298;;;;;;
mergeSort;1000000;sorted_99.7;238,892827;237,7517;240,0591;;;;;;
quickSort;1000000;sorted_99.7;66,022673;65,7801;66,7493;;;;;;
introSort;1000000;sorted_99.7;67,575849;67,0862;68,4857;;;;;;
mergeSort;1000000;reverse;241,097409;239,3349;242,8632;;;;;;
quickSort;1000000;reverse;45,212152;45,0754;45,9432;;;;;;
introSort;1000000;reverse;45,502362;45,3866;45,7448;;;;;;
